"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Тесты","0","Главная страница","5","0","","0"
"0","UI Тесты","0","Лента заказов","3","0","","0"
