"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2973","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-08-11","passed","2026-08-11","TestOrderFeed","test_order_feed","",""
"","1124","При нажатии в header кнопки «Лента заказов» совершается переход на страницу заказов","tests","2026-08-11","passed","2026-08-11","TestMainPage","test_main_page","",""
"","4134","При создании заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-08-11","passed","2026-08-11","TestOrderFeed","test_order_feed","",""
"","3075","При создании заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-08-11","passed","2026-08-11","TestOrderFeed","test_order_feed","",""
"","905","При нажатии в модальном окне с информацией об ингредиенте крестика, окно закрывается","tests","2026-08-11","passed","2026-08-11","TestMainPage","test_main_page","",""
"","2229","При нажатии в header кнопки ""Конструктор"" совершается переход на страницу сбора бургера","tests","2026-08-11","passed","2026-08-11","TestMainPage","test_main_page","",""
"","115","При нажатии на ингредиент всплывает окно с информацией","tests","2026-08-11","passed","2026-08-11","TestMainPage","test_main_page","",""
"","57","При добавлении ингредиента в заказ, счетчик увеличивается","tests","2026-08-11","passed","2026-08-11","TestMainPage","test_main_page","",""
